Year,Year70To81,MPG,GallonsPer100Miles,GallonsPer100MilesTo1981,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
79,1,18.2,5.5,5.5,8,3.18,1.35,3.83,15.2,1,1,0,0,dodge st. regis
79,1,16.9,5.9,5.9,8,3.5,1.55,4.36,14.9,1,1,0,0,buick estate wagon (sw)
79,1,15.5,6.5,6.5,8,3.51,1.42,4.054,14.3,1,1,0,0,ford country squire (sw)
79,1,19.2,5.2,5.2,8,2.67,1.25,3.605,15,1,1,0,0,chevrolet malibu classic (sw)
79,1,18.5,5.4,5.4,8,3.6,1.5,3.94,13,1,1,0,0,chrysler lebaron town @ country (sw)
79,1,31.9,3.1,3.1,4,0.89,0.71,1.925,14,2,0,1,0,vw rabbit custom
79,1,34.1,2.9,2.9,4,0.86,0.65,1.975,15.2,3,0,0,1,maxda glc deluxe
79,1,35.7,2.8,2.8,4,0.98,0.8,1.915,14.4,1,1,0,0,dodge colt hatchback custom
79,1,27.4,3.6,3.6,4,1.21,0.8,2.67,15,1,1,0,0,amc spirit dl
79,1,25.4,3.9,3.9,5,1.83,0.77,3.53,20.1,2,0,1,0,mercedes benz 300d
79,1,23,4.3,4.3,8,3.5,1.25,3.9,17.4,1,1,0,0,cadillac eldorado
79,1,27.2,3.7,3.7,4,1.41,0.71,3.19,24.8,2,0,1,0,peugeot 504
79,1,23.9,4.2,4.2,8,2.6,0.9,3.42,22.2,1,1,0,0,oldsmobile cutlass salon brougham
79,1,34.2,2.9,2.9,4,1.05,0.7,2.2,13.2,1,1,0,0,plymouth horizon
79,1,34.5,2.9,2.9,4,1.05,0.7,2.15,14.9,1,1,0,0,plymouth horizon tc3
79,1,31.8,3.1,3.1,4,0.85,0.65,2.02,19.2,3,0,0,1,datsun 210
79,1,37.3,2.7,2.7,4,0.91,0.69,2.13,14.7,2,0,1,0,fiat strada custom
79,1,28.4,3.5,3.5,4,1.51,0.9,2.67,16,1,1,0,0,buick skylark limited
79,1,28.8,3.5,3.5,6,1.73,1.15,2.595,11.3,1,1,0,0,chevrolet citation
79,1,26.8,3.7,3.7,6,1.73,1.15,2.7,12.9,1,1,0,0,oldsmobile omega brougham
79,1,33.5,3.0,3.0,4,1.51,0.9,2.556,13.2,1,1,0,0,pontiac phoenix
80,1,41.5,2.4,2.4,4,0.98,0.76,2.144,14.7,2,0,1,0,vw rabbit
80,1,38.1,2.6,2.6,4,0.89,0.6,1.968,18.8,3,0,0,1,toyota corolla tercel
80,1,32.1,3.1,3.1,4,0.98,0.7,2.12,15.5,1,1,0,0,chevrolet chevette
80,1,37.2,2.7,2.7,4,0.86,0.65,2.019,16.4,3,0,0,1,datsun 310
80,1,28,3.6,3.6,4,1.51,0.9,2.678,16.5,1,1,0,0,chevrolet citation
80,1,26.4,3.8,3.8,4,1.4,0.88,2.87,18.1,1,1,0,0,ford fairmont
80,1,24.3,4.1,4.1,4,1.51,0.9,3.003,20.1,1,1,0,0,amc concord
80,1,19.1,5.2,5.2,6,2.25,0.9,3.381,18.7,1,1,0,0,dodge aspen
80,1,34.3,2.9,2.9,4,0.97,0.78,2.188,15.8,2,0,1,0,audi 4000
80,1,29.8,3.4,3.4,4,1.34,0.9,2.711,15.5,3,0,0,1,toyota corona liftback
80,1,31.3,3.2,3.2,4,1.2,0.75,2.542,17.5,3,0,0,1,mazda 626
80,1,37,2.7,2.7,4,1.19,0.92,2.434,15,3,0,0,1,datsun 510 hatchback
80,1,32.2,3.1,3.1,4,1.08,0.75,2.265,15.2,3,0,0,1,toyota corolla
80,1,46.6,2.1,2.1,4,0.86,0.65,2.11,17.9,3,0,0,1,mazda glc
80,1,27.9,3.6,3.6,4,1.56,1.05,2.8,14.4,1,1,0,0,dodge colt
80,1,40.8,2.5,2.5,4,0.85,0.65,2.11,19.2,3,0,0,1,datsun 210
80,1,44.3,2.3,2.3,4,0.9,0.48,2.085,21.7,2,0,1,0,vw rabbit c (diesel)
80,1,43.4,2.3,2.3,4,0.9,0.48,2.335,23.7,2,0,1,0,vw dasher (diesel)
80,1,36.4,2.7,2.7,5,1.21,0.67,2.95,19.9,2,0,1,0,audi 5000s (diesel)
80,1,30,3.3,3.3,4,1.46,0.67,3.25,21.8,2,0,1,0,mercedes-benz 240d
80,1,44.6,2.2,2.2,4,0.91,0.67,1.85,13.8,3,0,0,1,honda civic 1500 gl
80,1,33.8,3.0,3.0,4,0.97,0.67,2.145,18,3,0,0,1,subaru dl
80,1,29.8,3.4,3.4,4,0.89,0.62,1.845,15.3,2,0,1,0,vokswagen rabbit
80,1,32.7,3.1,3.1,6,1.68,1.32,2.91,11.4,3,0,0,1,datsun 280-zx
80,1,23.7,4.2,4.2,3,0.7,1,2.42,12.5,3,0,0,1,mazda rx-7 gs
80,1,35,2.9,2.9,4,1.22,0.88,2.5,15.1,2,0,1,0,triumph tr7 coupe
80,1,32.4,3.1,3.1,4,1.07,0.72,2.29,17,3,0,0,1,honda accord
81,1,27.2,3.7,3.7,4,1.35,0.84,2.49,15.7,1,1,0,0,plymouth reliant
81,1,26.6,3.8,3.8,4,1.51,0.84,2.635,16.4,1,1,0,0,buick skylark
81,1,25.8,3.9,3.9,4,1.56,0.92,2.62,14.4,1,1,0,0,dodge aries wagon (sw)
81,1,23.5,4.3,4.3,6,1.73,1.1,2.725,12.6,1,1,0,0,chevrolet citation
81,1,30,3.3,3.3,4,1.35,0.84,2.385,12.9,1,1,0,0,plymouth reliant
81,1,39.1,2.6,2.6,4,0.79,0.58,1.755,16.9,3,0,0,1,toyota starlet
81,1,39,2.6,2.6,4,0.86,0.64,1.875,16.4,1,1,0,0,plymouth champ
81,1,35.1,2.8,2.8,4,0.81,0.6,1.76,16.1,3,0,0,1,honda civic 1300
81,1,32.3,3.1,3.1,4,0.97,0.67,2.065,17.8,3,0,0,1,subaru
81,1,37,2.7,2.7,4,0.85,0.65,1.975,19.4,3,0,0,1,datsun 210 mpg
81,1,37.7,2.7,2.7,4,0.89,0.62,2.05,17.3,3,0,0,1,toyota tercel
81,1,34.1,2.9,2.9,4,0.91,0.68,1.985,16,3,0,0,1,mazda glc 4
81,1,34.7,2.9,2.9,4,1.05,0.63,2.215,14.9,1,1,0,0,plymouth horizon 4
81,1,34.4,2.9,2.9,4,0.98,0.65,2.045,16.2,1,1,0,0,ford escort 4w
81,1,29.9,3.3,3.3,4,0.98,0.65,2.38,20.7,1,1,0,0,ford escort 2h
81,1,33,3.0,3.0,4,1.05,0.74,2.19,14.2,2,0,1,0,volkswagen jetta
81,1,33.7,3.0,3.0,4,1.07,0.75,2.21,14.4,3,0,0,1,honda prelude
81,1,32.4,3.1,3.1,4,1.08,0.75,2.35,16.8,3,0,0,1,toyota corolla
81,1,32.9,3.0,3.0,4,1.19,1,2.615,14.8,3,0,0,1,datsun 200sx
81,1,31.6,3.2,3.2,4,1.2,0.74,2.635,18.3,3,0,0,1,mazda 626
81,1,28.1,3.6,3.6,4,1.41,0.8,3.23,20.4,2,0,1,0,peugeot 505s turbo diesel
81,1,30.7,3.3,3.3,6,1.45,0.76,3.16,19.6,2,0,1,0,volvo diesel
81,1,25.4,3.9,3.9,6,1.68,1.16,2.9,12.6,3,0,0,1,toyota cressida
81,1,24.2,4.1,4.1,6,1.46,1.2,2.93,13.8,3,0,0,1,datsun 810 maxima
81,1,22.4,4.5,4.5,6,2.31,1.1,3.415,15.8,1,1,0,0,buick century
81,1,26.6,3.8,3.8,8,3.5,1.05,3.725,19,1,1,0,0,oldsmobile cutlass ls
81,1,20.2,5.0,5.0,6,2,0.88,3.06,17.1,1,1,0,0,ford granada gl
81,1,17.6,5.7,5.7,6,2.25,0.85,3.465,16.6,1,1,0,0,chrysler lebaron salon
82,0,28,3.6,,4,1.12,0.88,2.605,19.6,1,1,0,0,chevrolet cavalier
82,0,27,3.7,,4,1.12,0.88,2.64,18.6,1,1,0,0,chevrolet cavalier wagon
82,0,34,2.9,,4,1.12,0.88,2.395,18,1,1,0,0,chevrolet cavalier 2-door
82,0,31,3.2,,4,1.12,0.85,2.575,16.2,1,1,0,0,pontiac j2000 se hatchback
82,0,29,3.4,,4,1.35,0.84,2.525,16,1,1,0,0,dodge aries se
82,0,27,3.7,,4,1.51,0.9,2.735,18,1,1,0,0,pontiac phoenix
82,0,24,4.2,,4,1.4,0.92,2.865,16.4,1,1,0,0,ford fairmont futura
82,0,36,2.8,,4,1.05,0.74,1.98,15.3,2,0,1,0,volkswagen rabbit l
82,0,37,2.7,,4,0.91,0.68,2.025,18.2,3,0,0,1,mazda glc custom l
82,0,31,3.2,,4,0.91,0.68,1.97,17.6,3,0,0,1,mazda glc custom
82,0,38,2.6,,4,1.05,0.63,2.125,14.7,1,1,0,0,plymouth horizon miser
82,0,36,2.8,,4,0.98,0.7,2.125,17.3,1,1,0,0,mercury lynx l
82,0,36,2.8,,4,1.2,0.88,2.16,14.5,3,0,0,1,nissan stanza xe
82,0,36,2.8,,4,1.07,0.75,2.205,14.5,3,0,0,1,honda accord
82,0,34,2.9,,4,1.08,0.7,2.245,16.9,3,0,0,1,toyota corolla
82,0,38,2.6,,4,0.91,0.67,1.965,15,3,0,0,1,honda civic
82,0,32,3.1,,4,0.91,0.67,1.965,15.7,3,0,0,1,honda civic (auto)
82,0,38,2.6,,4,0.91,0.67,1.995,16.2,3,0,0,1,datsun 310 gx
82,0,25,4.0,,6,1.81,1.1,2.945,16.4,1,1,0,0,buick century limited
82,0,38,2.6,,6,2.62,0.85,3.015,17,1,1,0,0,oldsmobile cutlass ciera (diesel)
82,0,26,3.8,,4,1.56,0.92,2.585,14.5,1,1,0,0,chrysler lebaron medallion
82,0,22,4.5,,6,2.32,1.12,2.835,14.7,1,1,0,0,ford granada l
82,0,32,3.1,,4,1.44,0.96,2.665,13.9,3,0,0,1,toyota celica gt
82,0,36,2.8,,4,1.35,0.84,2.37,13,1,1,0,0,dodge charger 2.2
82,0,27,3.7,,4,1.51,0.9,2.95,17.3,1,1,0,0,chevrolet camaro
82,0,27,3.7,,4,1.4,0.86,2.79,15.6,1,1,0,0,ford mustang gl
82,0,44,2.3,,4,0.97,0.52,2.13,24.6,2,0,1,0,vw pickup
82,0,32,3.1,,4,1.35,0.84,2.295,11.6,1,1,0,0,dodge rampage
82,0,28,3.6,,4,1.2,0.79,2.625,18.6,1,1,0,0,ford ranger
82,0,31,3.2,,4,1.19,0.82,2.72,19.4,1,1,0,0,chevy s-10
